DVB Blind Scan                  Generic Discovery
────────────────────────────────────────────────────
Search space                   Candidate source
Scan controller                Discovery controller
Tuning candidate               Candidate proposal
Tuner resource                 Acquisition provider
Lock detection                 Recognition
Service information            Evidence
Service table                  Knowledge graph
New service                    New candidate
Scan budget                    Discovery budget
Tuning budget                  Acquisition budget
