snapshot_id,version,variant,source_lines,class_occurrences,async_method_occurrences,model_count,field_count,provider_count,failure_event_count,trust_boundary_count,authority_count,resource_bound_count
snapshot-0001,v0.1.0,mechanically-composed,1021,9,3,5,33,1,9,12,5,4
snapshot-0003,v0.2.0,mechanically-composed,1663,12,3,5,34,4,11,12,7,4
snapshot-0005,v0.3.0,only-evidenced-complete-occurrence,2592,12,3,5,34,4,12,12,7,6
snapshot-0006,v0.4.0,variant-a,4330,16,3,5,38,6,18,12,7,7
snapshot-0008,v0.4.0,variant-b,4778,17,3,5,37,8,22,12,7,9
snapshot-0007,v0.5.0,variant-a,6274,18,4,5,39,8,28,12,7,11
snapshot-0009,v0.5.0,variant-b,4714,19,4,5,38,8,19,12,7,10
snapshot-0011,v0.5.0,variant-c,5265,25,5,6,57,10,23,12,7,14
snapshot-0010,v0.6.0,variant-a,6209,20,4,5,52,9,15,12,7,13
snapshot-0012,v0.6.0,variant-b,8372,24,7,6,60,10,24,12,7,16
snapshot-0013,v0.6.0,variant-c,5164,22,5,5,61,10,14,12,7,17
snapshot-0014,v0.7.1,only-evidenced-complete-occurrence,5164,21,16,5,64,8,16,12,7,17
