event_id,from_version,to_version,adjacent,event_type,dimension,subject,before,after,status,causal_confidence,evidence_refs
event-0001,v0.1.0,v0.2.0,true,ADDITION_OR_GENERALIZATION,cross_cutting,provider_abstraction,ABSENT_IN_SCAN,ALL_VARIANTS,SUPPORTED,UNKNOWN,syn-ev-00021
event-0002,v0.1.0,v0.2.0,true,ADDITION_OR_GENERALIZATION,cross_cutting,claim,ABSENT_IN_SCAN,ALL_VARIANTS,SUPPORTED,UNKNOWN,syn-ev-00025
event-0003,v0.1.0,v0.2.0,true,ADDITION_OR_GENERALIZATION,cross_cutting,recognition_error_containment,ABSENT_IN_SCAN,ALL_VARIANTS,SUPPORTED,UNKNOWN,syn-ev-00026
event-0004,v0.1.0,v0.2.0,true,ADDITION,providers,HtmlProvider,NOT_OBSERVED,OBSERVED,SUPPORTED,UNKNOWN,syn-ev-00016
event-0005,v0.1.0,v0.2.0,true,ADDITION,providers,JsonProvider,NOT_OBSERVED,OBSERVED,SUPPORTED,UNKNOWN,syn-ev-00016
event-0006,v0.1.0,v0.2.0,true,ADDITION,providers,ResponseProvider,NOT_OBSERVED,OBSERVED,SUPPORTED,UNKNOWN,syn-ev-00016
event-0007,v0.1.0,v0.2.0,true,ADDITION,providers,TextProvider,NOT_OBSERVED,OBSERVED,SUPPORTED,UNKNOWN,syn-ev-00016
event-0008,v0.1.0,v0.2.0,true,DISAPPEARANCE,providers,HtmlRecognizer,OBSERVED,NOT_OBSERVED,SUPPORTED,UNKNOWN,syn-ev-00004
event-0009,v0.3.0,v0.4.0,true,ADDITION_OR_GENERALIZATION,cross_cutting,network_observation,ABSENT_IN_SCAN,SOME_VARIANTS,SUPPORTED,UNKNOWN,syn-ev-00072
event-0010,v0.3.0,v0.4.0,true,ADDITION,providers,CssProvider,NOT_OBSERVED,OBSERVED,SUPPORTED,UNKNOWN,syn-ev-00046;syn-ev-00061
event-0011,v0.3.0,v0.4.0,true,ADDITION,providers,JavaScriptProvider,NOT_OBSERVED,OBSERVED,SUPPORTED,UNKNOWN,syn-ev-00046;syn-ev-00061
event-0012,v0.3.0,v0.4.0,true,ADDITION,providers,ManifestProvider,NOT_OBSERVED,OBSERVED,SUPPORTED,UNKNOWN,syn-ev-00046;syn-ev-00061
event-0013,v0.3.0,v0.4.0,true,ADDITION,providers,RobotsProvider,NOT_OBSERVED,OBSERVED,SUPPORTED,UNKNOWN,syn-ev-00046;syn-ev-00061
event-0014,v0.3.0,v0.4.0,true,ADDITION,providers,XmlProvider,NOT_OBSERVED,OBSERVED,SUPPORTED,UNKNOWN,syn-ev-00046;syn-ev-00061
event-0015,v0.4.0,v0.5.0,true,BRANCH_DIVERGENCE,cross_cutting,scheduler,ALL_VARIANTS,SOME_VARIANTS,SUPPORTED,UNKNOWN,syn-ev-00047;syn-ev-00062;syn-ev-00078;syn-ev-00108
event-0016,v0.4.0,v0.5.0,true,BRANCH_DIVERGENCE,cross_cutting,claim,ALL_VARIANTS,SOME_VARIANTS,SUPPORTED,UNKNOWN,syn-ev-00055;syn-ev-00070;syn-ev-00086;syn-ev-00116
event-0017,v0.4.0,v0.5.0,true,BRANCH_CONVERGENCE_IN_RECOVERED_OCCURRENCES,cross_cutting,network_observation,SOME_VARIANTS,ALL_VARIANTS,SUPPORTED,UNKNOWN,syn-ev-00072;syn-ev-00088;syn-ev-00102;syn-ev-00118
event-0018,v0.4.0,v0.5.0,true,ADDITION,providers,ApiDescriptionProvider,NOT_OBSERVED,OBSERVED,SUPPORTED,UNKNOWN,syn-ev-00077;syn-ev-00093;syn-ev-00107
event-0019,v0.4.0,v0.5.0,true,ADDITION,providers,BinaryProvider,NOT_OBSERVED,OBSERVED,SUPPORTED,UNKNOWN,syn-ev-00077;syn-ev-00093;syn-ev-00107
event-0020,v0.4.0,v0.5.0,true,ADDITION,providers,Provider,NOT_OBSERVED,OBSERVED,SUPPORTED,UNKNOWN,syn-ev-00077;syn-ev-00093;syn-ev-00107
event-0021,v0.5.0,v0.6.0,true,ADDITION_OR_GENERALIZATION,cross_cutting,acquisition_policy,ABSENT_IN_SCAN,SOME_VARIANTS,SUPPORTED,UNKNOWN,syn-ev-00146;syn-ev-00164
event-0022,v0.5.0,v0.6.0,true,ADDITION_OR_GENERALIZATION,cross_cutting,structured_diagnostics,ABSENT_IN_SCAN,SOME_VARIANTS,SUPPORTED,UNKNOWN,syn-ev-00150;syn-ev-00168
event-0023,v0.5.0,v0.6.0,true,DISAPPEARANCE,providers,ApiDescriptionProvider,OBSERVED,NOT_OBSERVED,SUPPORTED,UNKNOWN,syn-ev-00077;syn-ev-00093;syn-ev-00107
event-0024,v0.5.0,v0.6.0,true,DISAPPEARANCE,providers,ManifestProvider,OBSERVED,NOT_OBSERVED,SUPPORTED,UNKNOWN,syn-ev-00077;syn-ev-00093;syn-ev-00107
event-0025,v0.6.0,v0.7.1,true,BRANCH_CONVERGENCE_IN_RECOVERED_OCCURRENCES,cross_cutting,scheduler,SOME_VARIANTS,ALL_VARIANTS,SUPPORTED,UNKNOWN,syn-ev-00138;syn-ev-00156;syn-ev-00174
event-0026,v0.6.0,v0.7.1,true,BRANCH_CONVERGENCE_IN_RECOVERED_OCCURRENCES,cross_cutting,acquisition_policy,SOME_VARIANTS,ALL_VARIANTS,SUPPORTED,UNKNOWN,syn-ev-00146;syn-ev-00164;syn-ev-00182
event-0027,v0.6.0,v0.7.1,true,ADDITION_OR_GENERALIZATION,cross_cutting,acquisition_plan,ABSENT_IN_SCAN,ALL_VARIANTS,SUPPORTED,UNKNOWN,syn-ev-00183
event-0028,v0.6.0,v0.7.1,true,ADDITION_OR_GENERALIZATION,cross_cutting,decision_ledger,ABSENT_IN_SCAN,ALL_VARIANTS,SUPPORTED,UNKNOWN,syn-ev-00184
event-0029,v0.6.0,v0.7.1,true,BRANCH_CONVERGENCE_IN_RECOVERED_OCCURRENCES,cross_cutting,claim,SOME_VARIANTS,ALL_VARIANTS,SUPPORTED,UNKNOWN,syn-ev-00147;syn-ev-00165;syn-ev-00185
event-0030,v0.6.0,v0.7.1,true,BRANCH_CONVERGENCE_IN_RECOVERED_OCCURRENCES,cross_cutting,structured_diagnostics,SOME_VARIANTS,ALL_VARIANTS,SUPPORTED,UNKNOWN,syn-ev-00150;syn-ev-00168;syn-ev-00188
event-0031,v0.6.0,v0.7.1,true,DISAPPEARANCE,providers,ResponseProvider,OBSERVED,NOT_OBSERVED,SUPPORTED,UNKNOWN,syn-ev-00123;syn-ev-00137;syn-ev-00155
event-0032,v0.6.0,v0.7.1,true,DISAPPEARANCE,providers,RobotsProvider,OBSERVED,NOT_OBSERVED,SUPPORTED,UNKNOWN,syn-ev-00123;syn-ev-00137;syn-ev-00155
event-0033,v0.1.0,v0.2.0,true,EXPLICIT_MECHANISM_CHANGE,architecture,atomic_candidate_claim,EARLIER_FORM,EXPLICIT_FORM,SUPPORTED,SUPPORTED,syn-ev-00190
event-0034,v0.2.0,v0.3.0,true,EXPLICIT_MECHANISM_CHANGE,architecture,bounded_retry,EARLIER_FORM,EXPLICIT_FORM,SUPPORTED,SUPPORTED,syn-ev-00191
